DISP DT,103,Unnamed: 2,606,604,Unnamed: 5,605,277,601,153,Unnamed: 10,TOTALS,894,Unnamed: 13,278,Unnamed: 15,279,Unnamed: 17,RLS ON C,Unnamed: 19,RLS ON D
11/01/17,2.0,,8.0,0.0,,22,0.0,6.0,0.0,,38,0.0,,0.0,,0.0,,2.0,,37.0
11/02/17,1.0,,10.0,0.0,,34,0.0,4.0,0.0,,49,0.0,,0.0,,0.0,,0.0,,4.0
11/03/17,0.0,,7.0,0.0,,16,7.0,9.0,0.0,,39,0.0,,0.0,,0.0,,0.0,,9.0
11/04/17,0.0,,17.0,0.0,,151,0.0,4.0,0.0,,172,0.0,,0.0,,0.0,,0.0,,4.0
11/05/17,0.0,,12.0,0.0,,87,10.0,20.0,0.0,,129,0.0,,0.0,,0.0,,0.0,,17.0
11/06/17,3.0,,10.0,0.0,,49,0.0,5.0,0.0,,67,0.0,,0.0,,0.0,,0.0,,5.0
11/07/17,1.0,,5.0,0.0,,25,4.0,11.0,0.0,,46,0.0,,3.0,,10.0,,1.0,,20.0
11/08/17,3.0,,12.0,0.0,,38,0.0,6.0,0.0,,59,0.0,,0.0,,0.0,,0.0,,7.0
11/09/17,7.0,,6.0,0.0,,30,10.0,11.0,1.0,,65,0.0,,1.0,,1.0,,0.0,,11.0
11/10/17,0.0,,19.0,1.0,,128,0.0,4.0,0.0,,152,0.0,,0.0,,0.0,,1.0,,16.0
11/11/17,0.0,,8.0,2.0,,105,9.0,24.0,2.0,,150,0.0,,0.0,,0.0,,2.0,,26.0
11/12/17,0.0,,12.0,1.0,,116,0.0,13.0,0.0,,142,0.0,,0.0,,0.0,,0.0,,15.0
11/13/17,2.0,,3.0,0.0,,25,7.0,1.0,0.0,,38,0.0,,7.0,,14.0,,0.0,,16.0
11/14/17,2.0,,7.0,0.0,,37,6.0,6.0,0.0,,58,0.0,,0.0,,0.0,,0.0,,7.0
11/15/17,0.0,,6.0,0.0,,32,7.0,8.0,1.0,,54,0.0,,0.0,,0.0,,2.0,,8.0
11/16/17,2.0,,7.0,0.0,,32,8.0,6.0,0.0,,55,0.0,,3.0,,1.0,,0.0,,6.0
11/17/17,3.0,,5.0,1.0,,36,13.0,15.0,0.0,,73,0.0,,7.0,,7.0,,8.0,,57.0
11/18/17,1.0,,6.0,5.0,,88,20.0,24.0,2.0,,146,0.0,,0.0,,0.0,,3.0,,27.0
11/19/17,0.0,,3.0,5.0,,109,7.0,12.0,0.0,,136,0.0,,0.0,,0.0,,0.0,,107.0
11/20/17,2.0,,4.0,0.0,,35,5.0,8.0,0.0,,54,0.0,,16.0,,20.0,,0.0,,9.0
11/21/17,1.0,,9.0,1.0,,31,5.0,16.0,0.0,,63,0.0,,0.0,,0.0,,0.0,,15.0
11/22/17,7.0,,9.0,0.0,,31,6.0,7.0,0.0,,60,0.0,,0.0,,0.0,,0.0,,15.0
11/23/17,0.0,,12.0,8.0,,71,12.0,41.0,0.0,,144,0.0,,0.0,,0.0,,0.0,,48.0
11/24/17,1.0,,2.0,2.0,,53,3.0,19.0,0.0,,80,0.0,,0.0,,0.0,,0.0,,25.0
11/25/17,0.0,,5.0,4.0,,84,33.0,29.0,0.0,,155,0.0,,0.0,,0.0,,0.0,,40.0
11/26/17,0.0,,14.0,5.0,,80,4.0,47.0,0.0,,150,0.0,,0.0,,0.0,,3.0,,56.0
11/27/17,3.0,,2.0,0.0,,37,8.0,1.0,0.0,,51,0.0,,21.0,,37.0,,2.0,,53.0
11/28/17,1.0,,11.0,0.0,,27,11.0,8.0,0.0,,58,0.0,,2.0,,9.0,,0.0,,48.0
11/29/17,1.0,,12.0,1.0,,32,9.0,12.0,0.0,,67,0.0,,0.0,,0.0,,0.0,,16.0
11/30/17,0.0,,6.0,2.0,,24,4.0,9.0,0.0,,45,0.0,,0.0,,0.0,,0.0,,11.0
--------,,,,,,,,,,,,,,,,,,,,
DIST TOT,,43.0,249.0,,38.0,"1,665",208.0,386.0,,6.0,"2,595",,0.0,,60.0,,99.0,24.0,,735.0
